yt_id,path_to_wav,label,class
8V7I_Ae_-2I,8V7I_Ae_-2I_rural.wav,rural,1.0
ZsNPvsMY6Ts,ZsNPvsMY6Ts_urban.wav,urban,0.0
aCAjBJ4blbk,aCAjBJ4blbk_rural.wav,rural,1.0
BTeXiJHLPk0,BTeXiJHLPk0_rural.wav,rural,1.0
Yvf51NMilB4,Yvf51NMilB4_urban.wav,urban,0.0
MB6OP8dw4xg,MB6OP8dw4xg_urban.wav,urban,0.0
8SVnDZ9nN60,8SVnDZ9nN60_urban.wav,urban,0.0
FS1kzhKbMmc,FS1kzhKbMmc_urban.wav,urban,0.0
nCArkSvF6X8,nCArkSvF6X8_urban.wav,urban,0.0
zkn00V8JRfo,zkn00V8JRfo_urban.wav,urban,0.0
Cn4Osu5IotQ,Cn4Osu5IotQ_rural.wav,rural,1.0
GwfnxXrKLS8,GwfnxXrKLS8_rural.wav,rural,1.0
yg_9ZRRj20U,yg_9ZRRj20U_rural.wav,rural,1.0
UJRIjwZ-XF8,UJRIjwZ-XF8_urban.wav,urban,0.0
tko795MH3rQ,tko795MH3rQ_urban.wav,urban,0.0
yYAxMMEPNBk,yYAxMMEPNBk_urban.wav,urban,0.0
PoAo8u14bm4,PoAo8u14bm4_rural.wav,rural,1.0
bx2I__W4hfM,bx2I__W4hfM_urban.wav,urban,0.0
UydN6lRmwQA,UydN6lRmwQA_rural.wav,rural,1.0
BUMr35cAuaA,BUMr35cAuaA_urban.wav,urban,0.0
0d--qR2htPQ,0d--qR2htPQ_rural.wav,rural,1.0
rBxNzOjaw1Y,rBxNzOjaw1Y_urban.wav,urban,0.0
Qw2rgrqdbuE,Qw2rgrqdbuE_urban.wav,urban,0.0
4Bz01VSklIA,4Bz01VSklIA_rural.wav,rural,1.0
D4vOFAEFz8U,D4vOFAEFz8U_rural.wav,rural,1.0
zDXMCkEvuRI,zDXMCkEvuRI_urban.wav,urban,0.0
F__n-FW_fkw,F__n-FW_fkw_urban.wav,urban,0.0
NZ1TfLJ32C0,NZ1TfLJ32C0_rural.wav,rural,1.0
hVoLdMSc1AM,hVoLdMSc1AM_rural.wav,rural,1.0
x6e6X1GuW48,x6e6X1GuW48_rural.wav,rural,1.0
1gakjyqqlag,1gakjyqqlag_urban.wav,urban,0.0
1jrbjv3pPz8,1jrbjv3pPz8_urban.wav,urban,0.0
X81Ml5TocUo,X81Ml5TocUo_rural.wav,rural,1.0
bpVfcw_imQA,bpVfcw_imQA_urban.wav,urban,0.0
yanEEt_CUFE,yanEEt_CUFE_rural.wav,rural,1.0
qKz2z8qFzr4,qKz2z8qFzr4_urban.wav,urban,0.0
pJSHzMEjXjo,pJSHzMEjXjo_rural.wav,rural,1.0
rPTN9GIVq1o,rPTN9GIVq1o_rural.wav,rural,1.0
_B0acZOfY_w,_B0acZOfY_w_rural.wav,rural,1.0
OF8ZdwpnTLQ,OF8ZdwpnTLQ_urban.wav,urban,0.0
Xl4tEvJZTKM,Xl4tEvJZTKM_urban.wav,urban,0.0
SX3JTXtHhkM,SX3JTXtHhkM_rural.wav,rural,1.0
me2bfqn3eoQ,me2bfqn3eoQ_rural.wav,rural,1.0
ZAoVPauJ4M0,ZAoVPauJ4M0_rural.wav,rural,1.0
-9HGhgJjzfc,-9HGhgJjzfc_urban.wav,urban,0.0
