Ref_Wave,Test_Wave,MOS
Genspeech/LPCNet_listening_test/mfall/dir1/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir1/lpcnq.wav,3.823139469
Genspeech/LPCNet_listening_test/vec18/dir1/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir1/lpcnq.wav,4.122819767
Genspeech/LPCNet_listening_test/mfall/dir2/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir2/lpcnq.wav,4.312159404
Genspeech/LPCNet_listening_test/vec18/dir2/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir2/lpcnq.wav,3.054721495
Genspeech/LPCNet_listening_test/mfall/dir3/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir3/lpcnq.wav,3.351932004
Genspeech/LPCNet_listening_test/vec18/dir3/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir3/lpcnq.wav,3.891214735
Genspeech/LPCNet_listening_test/mfall/dir4/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir4/lpcnq.wav,3.710286068
Genspeech/LPCNet_listening_test/vec18/dir4/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir4/lpcnq.wav,3.548417842
Genspeech/LPCNet_listening_test/mfall/dir5/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir5/lpcnq.wav,3.5101505910000004
Genspeech/LPCNet_listening_test/vec18/dir5/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir5/lpcnq.wav,3.439382387
Genspeech/LPCNet_listening_test/mfall/dir6/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir6/lpcnq.wav,2.960255433
Genspeech/LPCNet_listening_test/vec18/dir6/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir6/lpcnq.wav,3.461780404
Genspeech/LPCNet_listening_test/mfall/dir7/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir7/lpcnq.wav,3.4079298510000005
Genspeech/LPCNet_listening_test/vec18/dir7/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir7/lpcnq.wav,4.155935658
Genspeech/LPCNet_listening_test/mfall/dir8/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir8/lpcnq.wav,3.32064297
Genspeech/LPCNet_listening_test/vec18/dir8/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir8/lpcnq.wav,3.425347116
